breed,size,weight,height,life_span,aka,group,origin,role,facts,behavior,health_concerns,activity,grooming,pic_available,pic_name,friendly,novice,shelter_name
rough collie,medium,40 - 70 lbs,"20"" - 26""",N/A,Scottish Collie,herding,Scotland,Companion Dog,"Originated in the cold regions of northern Scotland in the 1800s, the breed was made popular by Queen Victoria and the television show ""Lassie.""","The Rough Collie is known for its intelligent, extremely kind temperament. It loves human companionship and is extremely tolerant of other animals. This breed may tend to be independent and prefer the companionship of its chosen human. It is a quick learner that adapts well to routines.",Hip dysplasia,medium,high,,,,,
saint bernard,large,110 - 200 lbs,"25"" - 30""",8 - 10 years,"St. Bernhardshund, Alpine Mastiff, Hospice Dogs, Barry Hounds",working,Switzerland,Companion Dog,"The Saint Bernard is an ancient breed most likely of Roman Molossian heritage. During the mid 1600s, the breed became popular when the monks of the Hospice of St. Bernard discovered these dogs had an uncanny ability for guiding and saving lost travelers crossing between Switzerland and Italy, as well as detecting avalanches. The most popular of all St. Bernards, Barry, was reputed to have saved more than 40 people. Thus, these dogs were commonly called Barryhunds. The breed was imported to England in the 1920s where it become extremely popular.","If well-bred and trained, the Saint Bernard will be a gentle, affectionate companion that gets along well with children. However, poor training and breeding can result in a disobedient, dangerous pet. These dogs must have strict obedience training and early socialization in order to obtain the best temperament possible. Avoid playing aggressive games with your St. Bernard.",Hip or elbow dysplasia; lymphoma; osteocsarcoma; bloat; epilepsy; diabetes; hemophilia; eye problems; cardiomyopathy; pyotraumatic dermatitis,medium,medium,,,,,
saluki,medium,31 - 55 lbs,"22"" - 28""",12 years,"Gazelle Hound, Persian Greyhound, Tazi, Arabian Hound, Tanji",hound,Middle East (Ancient Times),Companion Dog,This breed may be the oldest dog breed known to man. It was used in ancient Egypt more than five thousand years ago to hunt gazelle.,"The Saluki is a noble, extremely affectionate (although not always demonstrative) breed. They are sometimes viewed as aloof, reserved and even shy with strangers. Salukis are a gentle, sensitive breed. Although they enjoy children, they may not be active enough for playful kids. To avoid hurting your Saluki's feelings, avoid harsh corrections and rough play.",Drug / chemical sensitivity; emotionally sensitive; eye problems; cancer; sunburn; heart disease; kidney disease.,high,medium,TRUE,saluki,TRUE,FALSE,Saluki
samoyed,medium,50 - 75 lbs,"19"" - 23.5""",10 - 15 years,Samoyedskaya,working,Russia (Siberia),Companion Dog,"The Samoyed originated in the Siberian region of Russia, where it was used as a sled dog among the once nomadic Samoyed tribe. They were imported to England in the late 1800s are now a popular breed throughout the world.","The Samoyed is a sweet-natured family dog that is especially gentle with children, other pets and strangers. The breed is vocal and communicates by barking. Samoyeds tend to have a stubborn streak and can be difficult to train. Early socialization is important.",Hip dysplasia; retinal problems,high,high,,,,,
schapendoes,medium,33 - 40 lbs,"16"" - 20""",N/A,Dutch Sheepdog,herding,Holland,"Companion Dog, Obedience Work, Search & Rescue","This breed is related to the French Briard, Old English Sheepdog and Polish Lowland Sheepdog. It was used in the Netherlands in remote heath lands to guard sheep, putting its speed and agility to good use. Modern agriculture replaced the need for these dogs as herders. As a result, the breed almost became extinct after WWII.","Eager to learn, good-natured, spirited, intelligent, patient, affectionate and loyal. The Schapendoe is easily trained.",Excellent health record. No known hereditary conditions.,high,medium,,,,,
schiller hound,medium,40 - 53 lbs,"19"" - 24""",N/A,Schillerstovare,hound,Sweden,"Companion Dog, Hunting","This rugged dog was originally bred for hunting and tracking. The breed dates back to the Middle Ages. It was named after P. Schiller, who in the 1952, crossed Swedish scent hounds with Swiss, German and Austria bloodhounds.","The Schiller Hound is lively and affectionate. This is a robust, fast dog that needs firm training and loves snow.",Excellent health record. No known hereditary conditions.,high,low,,,,,
schipperke,small,12 - 18 lbs,"10"" - 13""",16 - 18 years,Barge Dog,non-sporting,Belgium,Companion Dog,"This breed dates back to the 17th Century in the Flemish provinces of Belgium. It descends from the black sheepdog ""Leauvenaar."" It was originally used to hunt vermin and was important to seafarers to catch rats. The breed was also used as a watchdog.","Bright, high-spirited, curious, independent, active, agile and stubborn. The Schipperke tend to be a territorial breed that loves to howl and bark at strangers. This dog can be difficult to train due to a short attention span. Obedience classes can be helpful.",Epilepsy; Legg-Perthes disease; hypothyroidism; hip dysplasia; cataracts; MPS111B (a new disease). Do not overfeed; prone to weight gain.,low,medium,TRUE,schipperke,TRUE,FALSE,Schipperke
schnauzer,medium,"Males (40 - 45 lbs.), Females (32 - 40 lbs.)","17"" - 20""",13 - 15 years,N/A,working,Germany,"Companion Dog, Agility Trials, Search & Rescue, Obedience Work","These dogs are depicted in 15th century art and were bred in Germany to be family pets, farm and guard dogs, as well as herders and ratters. The breed came to North America in the 1920s.","The Schnauzer is intelligent, independent, versatile, clever, affectionate, trainable, protective and active. This breed thrives on human company and is good at doing tricks.",Generally healthy breed; can be prone to hip dysplasia; minor eye problems and hyperthyroidism,high,high,,,,,
scottish deerhound,large,"Males (85 - 110 lbs.), Females (75 - 95 lbs.)","30"" or more",10 years,N/A,hound,Scotland,"Companion Dog, Obedience Work, Lure Coursing, Hunting, Tracking","Bred in the Middle Ages to hunt deer with Scottish nobility, you had had to be at least an Earl to own this dog. It as a courageous hunter and related to the Greyhound.","Quiet, gentle, dignified, loving and loyal, the Scottish Deerhound may be slow to learn. Training can be difficult. This breed needs consistent and early training.",Prone to bloating. Several small meals rather than one big meal is recommended. Avoid exercise right after feeding. Bone cancer; heart disease.,high,medium,TRUE,deerhound/scottish,FALSE,FALSE,Scottish Deerhound
scottish terrier,small,18 - 23 lbs.,"10""",12 - 14 years,"Orig. known as Aberdeen Terrier. Scotty, Scottie",terrier,Scotland,"Companion Dog, Agility Trials, Hunting, Obedience Work",Ancestor of the Aberdeen Terrier. Originally bred (1800s) to hunt badgers and foxes.,"The Scottish Terrier is feisty, independent, fearless, playful and curious. This is a breed that has a ""mind of its own"" and can be stubborn and aloof with strangers. Firm and consistent training is needed, but keep in mind that the breed is sensitive to correction. The Scottish Terrier strongly bonds with one or two family members -- and may dig and bark excessively if bored. Can be moody and snappish.","Prone to ""Scottish Cramp"" - muscle stiffness and limping when exercised or excited. However this condition is minor and does not worsen. Also may have disc problems; elbow dysplasia; allergies; hemophilia; epilepsy; cataracts; occasional liver shunts. Highly prone to bladder cancer.",high,high,TRUE,terrier/scottish,TRUE,FALSE,Scottish Terrier Scottie
sealyham terrier,small,24 lbs,"10""",12 - 14 years,Sealy,terrier,Wales,"Companion Dog, Hunting","This breed is a descendant of the Dandie Dinmont, West Highland White, Wire-Fox Terrier and Welsh Corgi. In 1850, Captain Edwards bred the Sealyham for hunting badger, otter and fox because he was not satisfied with other Terrier breeds.","The Sealyham Terrier is a quick learner, courageous and friendly. This breed is cheerful, calm and stable, with a deep devotion to owner. More outgoing and friendly than many other terrier breeds, the Sealyham Terrier thrives on being a family member.",Prone to deafness. Flea allergies; eye problems (glaucoma); does best in cool climate. Generally very healthy.,medium,high,TRUE,terrier/sealyham,TRUE,TRUE,Sealyham Terrier
shar-pei,medium,40 - 65 lbs,"18"" - 20""",10 years,Chinese Fighting Dog,non-sporting,China,Companion Dog,"The Shar-pei is an ancient breed that's been in existence since 200 B.C. It's primarily used in southern China as a general purpose farm dog, hunting dog and guard dog. The breed was depicted in ancient art and 13th century manuscripts. The breed almost died out but was saved around 1970 by a Hong Kong businessman who appealed to Americans through dog magazines. The breed came to America in 1966.","Loyal, independent, stubborn, bold and alert, the Shar-pei needs consistent and firm training. This breed must have a confident handler or it will be bossy. Generally reserved with strangers.",Kidney failure; hereditary skin problems in inferior lines,medium,medium,,,,,
sheltie,medium,15 - 25 lbs,"13"" - 16""",12 - 15 years,"Shetland Sheepdog. Previously known as ""Toonie"" from Norwegian word ""tun"" meaning ""farm""",toy,Shetland Islands off Scotland,"Companion Dog, Agility Trials, Herding, Obedience Work","This breed came to the British Isles in the early 1800s. It was used as a herding dog and often left alone to tend sheep, cattle and ponies. The breed is believed to be the result of crossing Scottish Collies, Yakki dogs of Greenland, and the Spitz.","The Sheltie is known as one of the smartest breeds; it craves companionship. This breed is eager to please, extremely active, bright, energetic and happy. Shelties are gentle, easy to train dogs that may bark when left alone. These are great dogs for obedience work and make outstanding family pets. Shelties love being an inside pet and chasing cars.",Eye disorders; deafness; bleeding disorder; heart disease; epilepsy; hypothyroidism; autoimmune skin diseases; hemophilia,medium,high,,,,,
shiba-inu,small,20 - 30 lbs,"16""",12 - 15 years,N/A,non-sporting,Japan,"Companion Dog, Guard Dog, Hunting","These dogs are descendants of an ancient Asian breed. These dogs are related to the Akita, Chow Chow, Kyushu and Spitz types. They were originally bred to hunt small game and birds. The breed almost died out during WWII, then came to the USA in 1954.","The Shiba-Inu is a confident, lively, loving, independent and active breed. The breed tends to be alert, playful and affectionate. Early and ongoing training recommended.",Generally very healthy. May be prone to a few genetic problems: PRA; hip dysplasia; patellar luxation (knee-cap slips),high,high,TRUE,shiba,TRUE,TRUE,Shiba Inu
shihtzu,small,9 - 16 lbs,"11""",12 - 15 years,Chrysanthemum dog,toy,China,"Companion Dog, Watchdog",The breed has existed for several centuries. It is believed that Tibetan monks bred the first dogs as companions and to be given as gifts to visiting royalty. These dogs were known as Tibetan Lion Dogs and were brought to England in 1935. The breed was introduced in the U.S. after WWII.,"The Shij Tzu is active, alert, stubborn, dignified and arrogant. This breed can be snappish, difficult to house-train and needs plenty of attention.",Kidney problems; eye problems; hemophilia; kneecap slippage; ear infections. Avoid overfeeding; may gain weight. Prone to snoring and wheezing. Dental hygiene is important or tooth loss can occur. Genetic problems due to mass breeding can occur -- purchase from a reputable breeder. Sensitive to heat.,low,high,TRUE,shihtzu,,,Shih Tzu
shiloh shepherd,large,140 - 160 lbs,"26"" - 32""",10 - 14 years,N/A,herding,United States (1970s),"Companion Dog, Agility Trials, Search & Rescue, Therapy Dog, Herding","This rare breed was bred in the 1970s to restore the original large-sized German Shepherd dog. It has American and Canadian Shepherd blood, as well as Malamute.","The Shiloh Shepherd is intelligent, non-aggressive, mild mannered, and easy to train. This breed is loyal, enjoys challenges, and is protective of its family. This breed tends to be dominant; an experienced handler / owner is recommended.",Hip and elbow problems; bone disease; stomach disorders; skin conditions,high,high,,,,,
siberian husky,medium,"Female (35 - 50 lbs.), Male (45 - 60 lbs.)","21"" - 24""",12 - 15 years,"Husky, Arctic Husky",working,Siberia,"Companion Dog, Sled Dog","This ancient breed is at least 3,000 years old. It was bred by nomads as a sled dog and was introduced to North America in the early 1900s.","The Siberian Husky has a great personality; it loves action and excitement. This is a curious breed that needs to stay occupied. It requires plenty of attention and companionship. Siberian Huskies are versatile and hard-working, but not overly affectionate.",Hip dysplasia; cataracts; skin allergies; glaucoma. Do not let this dog get overheated.,high,high,TRUE,husky,TRUE,FALSE,Husky
sicilian hound,medium,10 - 14 lbs,"14"" - 18""",N/A,Italian Greyhound,hound,Italy,"Companion Dog, Agility Trials, Lure Coursing",This breed is the oldest Italian breed of dog and is a descendant of the Pharaoh Hounds of ancient Egypt. These dogs were probably brought to the Mediterranean by the Phoenicians. In Italy the breed was used to hunt rabbits in mountainous areas and were often depicted on ancient coins.,"Active, adaptable, affectionate, high strung, sensitive and timid. The Sicilian Hound can be difficult to train; harsh discipline should never be used. Obedience classes are recommended.",Excellent health record. No known hereditary conditions.,high,low,,,,,
silky terrier,small,11 lbs,"9"" - 10""",15 years,"Silky Toy Terrier, Australian Silky Terrier",toy,Australia (Early 1900s),Companion Dog,The first dogs of this breed were imported from England and were a cross between Yorkshire Terriers and Australian Terriers.,"Intelligent and strong-willed, this breed needs to know who is boss. The Silky Terrier is eager to learn. Temperament can vary from dog to dog. Early training recommended, as this breed may be difficult to housebreak.",Storage Disease (a serious nervous system disorder that can be fatal); yeast dermatitis; knee-cap dislocation; tracheal collapse; elbow dysplasia; diabetes; epilepsy. Never use a choke collar on this dog due to fragile trachea.,high,high,TRUE,terrier/silky,FALSE,TRUE,Silky Terrier
skye terrier,small,23 - 28 lbs,"9"" - 10""",12 - 15 years,N/A,terrier,Scotland (1500s),Companion Dog,"The Skye Terrier is named after the region where the breed originated: the Isle of Skye. One of Scotland's oldest and purest Terriers, the Skye Terrier has been around since the 1500s. However, it wasn't until Queen Victoria fancied these cute pups that the breed became popular -- especially among royalty and the upper class. The AKC recognized the breed in 1887. However, its popularity has waned and today it is one of the least known terrier breeds.","Skye Terriers are a powerful, plucky breed that makes a good watchdog. The breed is loyal and affectionate to its family, but often wary of strangers. Skye Terriers are one of the few Terrier breeds that adjust well to city living. The Skye Terrier makes a mild-mannered house pet.",Hypothyroidism; atopy; copper toxicosis,low,high,,,,,
sloughi,medium,45 - 60 lbs,"24"" - 28""",12 years,"Arabian Greyhound, Slughi",miscellaneous,North Africa (Ancient Times),Companion Dog,"Native to the area that is now Morocco, Algeria, Tunisia and Libya, the Sloughi is an ancient breed that was treasured by the Berber and Bedouin. They often treated the Sloughi like family. DNA tests show seven differences between the Saluki and Sloughi, with only one between the Sloughi and Afghan.","The Sloughi is often compared to the Saluki in terms of temperament. It may be somewhat aggressive with strangers and tends to be too nervous to fit well into a home with small, active children. This breed prefers a calm environment. The Sloughi is usually described as intelligent, noble, proud, reserved, polite and watchful.",Progressive retinal atophy,high,medium,,,,,
slovakian kuvasz,large,66 - 99 lbs,"22"" - 27.5""",11 - 13 years,"Slovensky Kuvac, Slovakian Chuvach, Tatransky Cuvac",working,Slovakia (1500s),Companion Dog,"The Slovensky Kuvac is a Mountain Shepherd is similar in origin to the Kuvasz. (Kuvasz is a Hungarian for ""armed guard,"") This breed was nearly extinct after World War II. Dr. Antonin Hruzo implemented a successful breeding program to help reestablish the breed. The breed gained international recognition in the early 1970s and is a popular companion dog in Central Europe today.","With a dramatically affectionate personality, the Slovensky Kuvac tends to make a great family dog. It is a calm, powerful and courageous watchdog. The breed is a flock herder and will need an owner that understands the training necessary for an independent breed with strong guarding instincts. The breed is reputed to have an exceptional memory: Once it learns, it does not forget.",Excellent health record. No known hereditary conditions.,medium,high,,,,,
smaland hound,medium,33 - 40 lbs,"18"" - 21.5""",12 - 14 years,Smalandsstovare,hound,Sweden (1500s),Companion Dog,"The Smaland Hound originated in Sweden during the Middle Ages, when poor farmers could only afford to raise one dog. Thus, it was important to farmers to have a good all-around hound dog like the Smaland, which hunted a variety of prey, including: elk, hare, fox, otter, squirrel and forest birds. Historians believe the breed may be descendants of the spitz.",N/A,Excellent health record. No known hereditary conditions.,high,medium,,,,,
small blue gascony griffon,medium,40 - 48 lbs,"20"" - 23""",12 years,Petit Griffon Bleu de Gascogne,hound,France,Companion Dog,"This breed originated when breeders wanted a ""smaller"" Grand Bleu de Gascogne that would be better suited to hunt small quarry. It is rarer than its cousin, the Grand Bleu de Gascogne","This breed is an excellent hound, but it can be difficult to train. This breed is known for enjoying the company of other dogs.",Excellent health record. No known hereditary conditions.,high,medium,,,,,
small munsterlanders,medium,32 - 34 lbs,"19"" - 22""",12 - 14 years,"Kleiner Munsterlander, Vorstehhund, Heidelwachtel, Spion",sporting,Germany,Companion Dog,"The Small Munsterlander has been around since the Middle Ages. However it was ""rediscovered"" in the 1900s.","Although it was originally developed as a bird dog, both selective and planned breeding has created a breed that is dependent on personality for survival. Thus, this is a breed that is happy, easily trained and somewhat carefree. Small Munsterlanders have an inborn instinct to retrieve and play. This breed is a devoted member of its family.",Excellent health record. No known hereditary conditions.,medium,medium,,,,,
small-sized french setter,medium,45 - 71 lbs,"18.5"" - 23""",12 - 14 years,"Braques Francais de Petite Taille, French Pyrenean Pointer",sporting,France (1600s),Companion Dog,The breed originated in the Pyrenean region of France and is a descendant of the Spanish and extinct Southern Hound.,"The French Setter is an active, eager-to-please breed that is best trained with gentleness. It thrives on human interaction and enjoys the company of other animals. This breed makes a loving household companion. Generally suitable for both urban and rural living environments.",Excellent health record. No known hereditary conditions.,high,low,,,,,
spanish greyhound,medium,44 - 66 lbs,"23"" - 28""",12 years,Galgo Espanol,hound,Spain (Ancient Times),Companion Dog,"The Spanish Greyhound is probably a descendant of the Sloughi. This breed accompanied the Moors when they occupied Spain more 1,000 years ago. Although the breed is named ""Greyhound,"" it is a different breed, with a unique lineage.","The Spanish Galgo (Greyhound) is often referred to as independent, but a tad timid. They are an aloof breed that needs room to exercise, may to be somewhat snappy and occasionally, difficult to train.",Excellent health record. No known hereditary conditions.,high,medium,,,,,
spanish hound,medium,45 - 55 lbs,"18"" - 22""",11 - 13 years,Sabueso Espanol,hound,Spain (Middle Ages),Companion Dog,"The breed is probably descended from the Mastiff, as well as the Bloodhound and extinct White Talbot. It was isolated on the Iberian Peninsula, so the breed remained pure.","This breed is a work dog that is used to working alone, rather than in a pack. It should be introduced to children and strangers only with caution. Even though it was not bred with the purpose in mind, this breed's temperament often makes it a good guard / watch dog.",Excellent health record. No known hereditary conditions.,high,medium,,,,,
spanish mastiff,large,121 - 154 lbs,"28"" - 32""",9 - 11 years,"Mastin Espanol, Mastin de la Mancha, Mastin de Extremadura",working,Spain (Ancient Times),Companion Dog,"The breed's origin is unknown. However, it's likely that, like other Mastiffs, the Spanish Mastiff is descended from dogs brought to the region by Phoenician and Greek travelers more than 2,000 years ago. It was originally used to guard sheep from wolves. Today, it is still popular as a livestock guardian, as well as a pet.","The Spanish Mastiff is a large breed; its size often makes pet owners weary to commit. It is a fairly gentle, obedient breed, but can tend to snap.",Excellent health record. No known hereditary conditions.,low,medium,,,,,
spanish pointer,medium,50 - 70 lbs,"20"" - 25""",12 - 14 years,"Perdiguero de Burgos, Perdiguero Burgales, Burgos Pointing Dog",sporting,Spain (1500s),"Companion Dog, Hunting","A descendant of the Old Spanish Pointer, this breed originally specialized in deer hunting. Over time, breeders developed the dog to be smaller and more agile for bird hunting. Today the Spanish Pointer is mostly used for hunting small game, such as quail and rabbits.","Obedient and easy to train, this breed is an excellent choice for active families with children. The Spanish Pointer requires high levels of exercise. These dogs should not be kept only as a pet -- they need a job to do, preferably hunting and retrieving. The Spanish Pointers can become restless and destructive if not given enough opportunity to exercise.",Excellent health record. No known hereditary condition,high,medium,,,,,
springer spaniel,medium,40 - 50 lbs,"18"" - 21""",12 - 14 years,English Springer Spaniel,sporting,Great Britain (Renaissance Period),"Companion Dog, Hunting","The Springer Spaniel is considered the forbearer of all English hunting Spaniels. Its name is derived from the method it uses during hunting. The Springer will ""spring"" towards its prey (usually birds) to flush it out of hiding. It became popular in the U.S. in the 1700s and is still a favorite hunting partner and pet. Today the Springer is a good all-around worker, companion and competition dog, with superb skills in bird hunting, retrieving, tracking, watchdogging, agility, tricks and obedience.","Obedient, social and fun, the Springer Spaniel learns quickly. This is a breed that's always willing to perform tricks or chores that help them display their intelligence. This breed has a tendency to bond with everyone, so it's a good choice for a family with children. Because this breed is so social, it can suffer from separation anxiety. It may become destructive if left alone for long periods of time. Many go through a ""teenager"" phase that can be disruptive. This is quite common, and should not be confused with the much more serious Rage Syndrome. During the teenage period, dogs will require a firm but understanding hand to teach proper obedience. This breed is good with other pets but due to its history as a bird dog, it may not do well with pet birds in the house. There are two types of Springers, including field and bench. They differ slightly in appearance and temperament. Field Springers have a whiter coat and are used for hunting and field trial activities, while Bench Springers have darker fur and are bred for show. Field Springers are more energetic, while the Bench counterparts have the calmer disposition required for show dogs.","Hip Dysplasia; weight gain; ear infections; progressive retinal atrophy; canine phosphofructokinase (PFK); Epilepsy; Rage Syndrome (a rare form of epilepsy that causes dogs to change personality and become vicious, attacking people or other animals)",high,high,,,,,
st. hubert jura hound,medium,34 - 44 lbs,"18"" - 23""",12 - 13 years,Jura Laufhund St. Hubert,hound,Switzerland (Middle Ages),"Companion Dog, Hunting","This breed is a descendant of many breeds native to the Swiss-French border, including the St. Hubert Hound, Swiss Laufhund and other local hounds. It is considered a larger brother to the Bruno Jura Hound, and has a slightly different, more pendulous silhouette around the upper lip and throat.","This breed is calm, even-tempered and dependable. The St. Hubert Jura Hound is excellent with children and other pets. It will make an outstanding addition to the family -- as long as it is well trained.",Excellent health record. No known hereditary conditions.,medium,medium,,,,,
stabyhoun,medium,40 - 55 lbs,"19"" - 21""",13 - 14 years,"Stabijhoun, Dutch Stabyhoun, Friesian Pointer",hound,Netherlands (1800s),"Companion Dog, Hunting","Originally from Friesland in the northern part of the Netherlands, this breed is not common outside of Northern Europe. It is properly named for its characteristics: ""Staby"" comes from the Dutch phrase ""sta me bij"" (""stand by me"") -- and ""hoon"" (""dog"").","The Stabyhoun is highly-trainable and eager-to-please, but requires consistency to learn obedience and tricks. This breed is extremely devoted and affectionate toward its family, but is wary of strangers. It interacts well with other pets.","Hip Dysplasia. In recent years, breeding guidelines have become stricter and many former hereditary health problems have been eliminated from the breed.",medium,medium,,,,,
staffordshire bull terrier,small,23 - 38 lbs,"13"" - 16""",10 - 16 years,"English Staffordshire Bull Terrier, Staffie, Staffy, Stafford, Staffordshire",terrier,England (1800s),"Companion Dog, Guard Dog","This breed originated in Staffordshire, England in the nineteenth century as a cross between English Bulldogs and various Terriers. It was first used for bull-baiting, a now extinct sport in the region. In the 1900s, the breed was made popular in the U.S. as a guard dog and companion. Today' Staffies are slightly larger than their British ancestors.","These dogs are obedient, affectionate people-lovers. Often wary of strangers, the Staffordshire Bull Terrier warms up once it's known that the new visitors are welcome. The Staffordshire Bull Terrier is good with other family pets, but can be aggressive toward other types of Bulldogs -- particularly those of the same sex. Intelligent yet willful, Staffies are sometimes described as humans in canine form. Puppies are known ""chewers."" Only the strongest toys will hold up to their powerful jaws. While the breed is good for most children, play should be supervised. Puppies will want to chew and ""play bite"" -- which may be too rough for some kids. Also, the sheer size and strength of the Staffie can be harmful to smaller children (even when the dog only means to play). The breed tends to be risk-takers, and can be hard to handle. Staffies love a challenge and are willing to do almost anything, even if it is slightly dangerous. Recommended only for families and individuals that are experienced handlers. Strict, consistent training is necessary; this dog can be difficult to housebreak.",Hip Dysplasia; hereditary cataracts (HC) (eye condition causing poor vision and blindness); persistent hyperplasic primary vitreous (PHPV) (congenital eye condition where certain blood vessels in the eye do not disappear after birth as they should); chronic gas,medium,medium,TRUE,bullterrier/staffordshire,FALSE,FALSE,Bull Terrier
steimbracke,medium,44 lbs,"14"" - 15""",12 - 14 years,"Deutsche Bracke, German Hound",sporting,Germany (Ancient Times),"Companion Dog, Hunting","Considered one of the first German scenthounds from Ancient Times, the breed was only officially recognized in 1955. Steinbrackes originated in northwestern Germany and continues to be a fine companion and hunting partner today.","Enthusiastic and willing, this hardy dog enjoys tracking large and small game in rough terrain. This breed can be stubborn and requires firm, consistent training. The Steinbracke's calm and even temperament is suited for companionship for an individual or family.",Excellent health record. No known hereditary conditions.,high,medium,,,,,
stephens stock,medium,35 - 55 lbs,"16"" - 23""",12 - 14 years,"Stephens Stock Mountain Cur, Stephens Cur",working,United States (1800s),"Companion Dog, Hunting","A descendant of the Mountain Cur, this breed was developed by the Hugh Stephens family in southeastern Kentucky. The family developed the breed during a century of breeding, perfecting its smooth black coat and outstanding hunting abilities. Stephens was actively involved in the Mountain Cur Club, but by 1970 the club determined that Stephens' breed was distinct enough to form a separate registry from the Mountain Cur.","Stephens Stock dogs are highly trainable and courageous. They are known hunters, specializing in smaller prey such as squirrels and raccoons. When in packs, they are capable of tracking large game such as bears and mountain lions. Stephens Stock dogs are devoted to family, but may be wary of strangers.",Excellent health record. No known hereditary conditions.,high,medium,,,,,
sussex spaniel,medium,40 - 45 lbs,"13"" - 16""",12 - 14 years,N/A,sporting,England (1700s),"Companion Dog, Hunting","Always on the verge of extinction, this breed has survived with the help of a handful of devoted breeders since the late 1700s. During WWII, British breeder Joy Freer single-handedly preserved the breed by borrowing food from anyone who would donate it to maintain her dogs' health and weight. Her dedication helped maintain her eight dogs through the years of government food rationing. Practically all of today's Sussex Spaniels are descendants of these eight WWII canine survivors.","This rare breed is laid back, friendly and devoted to its family. The Sussez Spaniel hardly ever lets family members out of sight and is prone to following owners around all day. This is a dog that thrives on companionship. However, it has a tendency to be more territorial than most other spaniels, which often results in wariness of strangers and snapping if it feels its space or property is being invaded. Sussex Spaniels are easily trainable and learn quickly. This dog is best suited for a hunter, but can entertain itself with its own prey (bugs, butterflies, rodents) if kept primarily as a companion.",This rare breed has been plagued with many hereditary conditions due to its small genetic pool. Efforts are being made in the UK and U.S. to bring this dog back to larger numbers and better health.,high,medium,TRUE,spaniel/sussex,TRUE,TRUE,Sussex Spaniel
swedish vallhund,small,25 - 35 lbs,"12"" - 16""",12 - 14 years,"Vallhund, Swedish Cattle Dog, V�stg�taspets, Vaestgoetaspets",herding,Britain / Sweden (Middle Ages),"Companion Dog, Herding","The origin of the Swedish Vallhund is unknown, although there are a couple theories. Some believe that the breed descends from Pembroke Welsh Corgis brought from England to Sweden. Others think that it may be an original breed brought to England by early Vikings. Originally used as a small cattle herder, today the breed is an effective watchdog, vermin hunter and companion.","Intelligent and easy to train, this breed loves to be the center of attention (""show-off""). It's ideal for dog shows and obedience competitions. The Swedish Vallhund will protect its family at all costs - even when it's too small to do so. This breed can be wary of strangers but will warm up once it realizes the new visitors are welcome. Like most herding dogs, the Vallhund has a tendency to nip at your heels. This is a natural behavior because herders will nip at livestock's feet to drive them from place to place. The Swedish Vallhund can be trained to stop this behavior. A frequent barker with a protective nature, this breed will alarm you to an intruder or disturbance.",Excellent health record. No known hereditary conditions.,medium,medium,,,,,
tahltan bar dog,small,15 lbs,"15""",N/A,N/A,sporting,Canada (Ancient Times),"Companion Dog, Hunting","Now extinct in its pure form, the Tahltan Bear Dog was used by a group of native Canadians called the Tahltans to hunt bear and other big game. While the breed was recognized by the Canadian Kennel Club for many years, no Tahltan Bear Dog has been registered for more than 20 years. In 1984, the only two dogs known to exist were spayed females. However, due to cross breeding from the times of colonization to today, it is believed that strains of the Tahltan Bear Dog are carried on today in Canadian mix breeds.","Friendly and gentle with people and other pets, this breed is a fierce hunter when released (in packs) on large game.",This breed is believed to be extinct.,low,low,,,,,
tawny brittany bassett,medium,35 - 40 lbs,"13"" - 15""",9 - 15 years,Basset Fauve de Bretagne,hound,France,"Companion Dog, Hunting",Bred to hunt small game in its native France.,"The Tawny Brittany Basset is quiet, affectionate and intelligent. The breed is generally cheerful and brave, but has a mind of its own. Thus, it can be difficult to train.",Excellent health record. No known hereditary conditions.,medium,low,,,,,
tawny brittany griffon,medium,40 - 45 lbs,"20"" - 22""",9 - 15 years,Fauves de Bretagne,non-sporting,France,"companion Dog, Hunting","This breed dates back to the Middle Ages, when it was used to protect flocks from wolves.","The Tawny Brittany Griffon is intelligent, active, brave and protective",Excellent health record. No known hereditary conditions.,high,high,,,,,
telomain,medium,18 - 28 lbs,"15"" - 19""",N/A,N/A,sporting,Malaysia,Companion Dog,These dogs were the pets of Aborigines of Malaysia. These dogs climbed ladders into the family hut and chased out snakes and other animals. Telomians were beloved family members and today's breed can be traced back to two pairs obtained from the Aborigines.,"This breed is alert, engaging and active. The Telomian needs early socialization or it may become aloof.",Excellent health record. No known hereditary conditions.,high,low,,,,,
thai ridgeback,medium,50 - 75 lbs,"22"" - 24""",N/A,Mah Thai,hound,Eastern Thailand,"Companion dog, Hunting, Watchdog",N/A,"The Thai Ridegback is an alert, active breed that needs a dominant owner. This breed can be aggressive if not properly raised.",Excellent health record. No known hereditary conditions.,high,low,,,,,
tibetan mastiff,large,120 - 170 lbs,"24"" - 25""",N/A,Do Khyi,working,Tibet,"Companion Dog, Guard Dog",The history of this breed is vague. Its ancestors have existed in Tibet for centuries. These dogs were used for guarding villages and monasteries and livestock. Alexander the Great took these dogs with him on his travels.,"The Tibetan Mastiff is calm, thoughtful and dignified. This breed can be stubborn and dominant, so it needs consistent and firm training. Harsh words and treatment will not work well with this breed.","Generally healthy, but may develop thyroid problems and hip dysplasia",medium,high,TRUE,mastiff/tibetan,TRUE,FALSE,Tibetan Mastiff
